               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.024026,            0.022689,           0.0031679,              0.8458,             0.84745,              0.9208,             0.68125,            0.018378,            0.010368,           0.0054464,           0.0094205,           0.0094205,           0.0094205
                  51,             0.02365,            0.022449,           0.0030389,             0.87814,             0.85953,             0.92701,             0.69672,            0.018076,           0.0095397,           0.0026559,           0.0093971,           0.0093971,           0.0093971
                  52,            0.023403,            0.021932,            0.002868,             0.86495,             0.88926,             0.94208,             0.71029,            0.019239,           0.0096345,            0.002019,           0.0093733,           0.0093733,           0.0093733
                  53,             0.02402,            0.022595,           0.0034499,             0.85871,             0.86151,             0.91897,              0.6963,            0.018173,            0.010099,           0.0014908,           0.0093491,           0.0093491,           0.0093491
                  54,             0.02306,            0.022487,           0.0031334,             0.84502,             0.91215,             0.94229,             0.72045,            0.017732,           0.0097459,           0.0040531,           0.0093245,           0.0093245,           0.0093245
                  55,             0.02288,            0.022004,           0.0027767,             0.87204,             0.92423,             0.94761,             0.73035,            0.017665,           0.0094141,          0.00079909,           0.0092995,           0.0092995,           0.0092995
                  56,            0.022834,            0.021652,           0.0030779,             0.79937,             0.84533,             0.89369,             0.67629,            0.018015,            0.010218,           0.0037651,            0.009274,            0.009274,            0.009274
                  57,            0.023784,             0.02287,           0.0037503,              0.8369,             0.84153,             0.90643,             0.67016,            0.018768,            0.010137,           0.0096346,           0.0092481,           0.0092481,           0.0092481
                  58,            0.022997,              0.0221,           0.0029447,             0.86675,              0.8831,             0.93853,             0.70443,            0.017652,           0.0093784,           0.0028519,           0.0092219,           0.0092219,           0.0092219
                  59,            0.023075,            0.021922,           0.0030031,             0.91073,             0.88132,             0.94988,             0.72763,            0.017384,           0.0089809,           0.0017311,           0.0091952,           0.0091952,           0.0091952
                  60,            0.022753,             0.02186,           0.0027755,             0.90504,             0.88699,             0.95127,             0.72399,            0.017637,           0.0087863,           0.0013665,           0.0091681,           0.0091681,           0.0091681
                  61,            0.022708,            0.021542,           0.0028649,              0.9135,             0.90245,             0.94975,             0.73594,            0.017309,            0.009345,           0.0055841,           0.0091406,           0.0091406,           0.0091406
                  62,            0.022234,            0.021233,           0.0029603,             0.87495,             0.90471,             0.94928,             0.73172,            0.017157,           0.0093337,           0.0018687,           0.0091127,           0.0091127,           0.0091127
                  63,            0.022117,            0.021376,            0.002625,             0.89404,             0.89937,             0.94675,              0.7335,            0.016971,            0.009514,           0.0011649,           0.0090844,           0.0090844,           0.0090844
                  64,            0.022386,            0.020585,           0.0026358,             0.89408,             0.91496,             0.95879,             0.74564,            0.017378,           0.0086019,           0.0028527,           0.0090557,           0.0090557,           0.0090557
                  65,            0.022118,            0.021114,           0.0026219,             0.89371,             0.89357,             0.93994,             0.74358,            0.017366,           0.0088204,           0.0014991,           0.0090266,           0.0090266,           0.0090266
                  66,            0.022217,            0.021188,           0.0025661,             0.93212,             0.92212,             0.96343,              0.7541,            0.016274,           0.0085957,           0.0012773,           0.0089972,           0.0089972,           0.0089972
